26/06/2024 12:08:22 - 0000:	 - train_loss: 0.954055:	 - test_loss: 2.124545:	 mIoU 0.0002
26/06/2024 12:15:36 - 0001:	 - train_loss: 1.334989:	 - test_loss: 1.172412:	 mIoU 0.2041
26/06/2024 12:22:53 - 0002:	 - train_loss: 1.190268:	 - test_loss: 1.059293:	 mIoU 0.3341
26/06/2024 12:33:13 - 0004:	 - train_loss: 1.091995:	 - test_loss: 1.022760:	 mIoU 0.3447
26/06/2024 12:37:26 - 0005:	 - train_loss: 1.068526:	 - test_loss: 1.006532:	 mIoU 0.3723
26/06/2024 12:49:27 - 0007:	 - train_loss: 1.044276:	 - test_loss: 0.980850:	 mIoU 0.3838
26/06/2024 12:57:41 - 0008:	 - train_loss: 1.044397:	 - test_loss: 0.955970:	 mIoU 0.4106
26/06/2024 13:22:23 - 0011:	 - train_loss: 1.023495:	 - test_loss: 0.964411:	 mIoU 0.4126
26/06/2024 13:47:39 - 0014:	 - train_loss: 1.022396:	 - test_loss: 0.926015:	 mIoU 0.4414
26/06/2024 14:10:34 - 0017:	 - train_loss: 1.012061:	 - test_loss: 0.929729:	 mIoU 0.4421
26/06/2024 14:18:02 - 0018:	 - train_loss: 1.001508:	 - test_loss: 0.918559:	 mIoU 0.4451
26/06/2024 14:33:02 - 0020:	 - train_loss: 0.993133:	 - test_loss: 0.910778:	 mIoU 0.4644
