29/06/2024 00:42:12 - 0000:	 - train_loss: 0.975405:	 - test_loss: 0.999746:	 mIoU 0.0003
29/06/2024 00:42:59 - 0001:	 - train_loss: 0.904844:	 - test_loss: 0.795463:	 mIoU 0.1886
29/06/2024 00:43:48 - 0002:	 - train_loss: 0.800888:	 - test_loss: 0.766234:	 mIoU 0.2171
29/06/2024 00:44:35 - 0003:	 - train_loss: 0.769875:	 - test_loss: 0.739004:	 mIoU 0.2528
29/06/2024 00:46:59 - 0006:	 - train_loss: 0.732109:	 - test_loss: 0.682596:	 mIoU 0.3091
29/06/2024 00:47:47 - 0007:	 - train_loss: 0.717803:	 - test_loss: 0.674357:	 mIoU 0.3109
29/06/2024 00:49:57 - 0009:	 - train_loss: 0.682688:	 - test_loss: 0.665881:	 mIoU 0.3201
29/06/2024 00:52:04 - 0011:	 - train_loss: 0.677542:	 - test_loss: 0.652374:	 mIoU 0.3334
29/06/2024 00:54:13 - 0013:	 - train_loss: 0.658504:	 - test_loss: 0.634418:	 mIoU 0.3547
29/06/2024 00:55:16 - 0014:	 - train_loss: 0.669146:	 - test_loss: 0.616083:	 mIoU 0.3711
29/06/2024 00:59:26 - 0018:	 - train_loss: 0.626209:	 - test_loss: 0.609462:	 mIoU 0.3791
29/06/2024 01:01:26 - 0020:	 - train_loss: 0.626380:	 - test_loss: 0.595762:	 mIoU 0.3879
29/06/2024 01:04:31 - 0023:	 - train_loss: 0.619008:	 - test_loss: 0.601405:	 mIoU 0.3886
29/06/2024 01:05:31 - 0024:	 - train_loss: 0.618183:	 - test_loss: 0.596167:	 mIoU 0.3970
29/06/2024 01:06:33 - 0025:	 - train_loss: 0.618621:	 - test_loss: 0.580411:	 mIoU 0.4087
29/06/2024 01:10:38 - 0029:	 - train_loss: 0.605494:	 - test_loss: 0.573356:	 mIoU 0.4118
29/06/2024 01:13:44 - 0032:	 - train_loss: 0.603759:	 - test_loss: 0.571969:	 mIoU 0.4147
29/06/2024 01:14:48 - 0033:	 - train_loss: 0.600903:	 - test_loss: 0.568590:	 mIoU 0.4210
29/06/2024 01:16:49 - 0035:	 - train_loss: 0.592407:	 - test_loss: 0.565454:	 mIoU 0.4227
29/06/2024 01:18:52 - 0037:	 - train_loss: 0.592907:	 - test_loss: 0.554922:	 mIoU 0.4323
29/06/2024 01:22:02 - 0040:	 - train_loss: 0.575828:	 - test_loss: 0.552156:	 mIoU 0.4331
29/06/2024 01:23:06 - 0041:	 - train_loss: 0.581276:	 - test_loss: 0.539024:	 mIoU 0.4463
29/06/2024 01:35:26 - 0053:	 - train_loss: 0.558593:	 - test_loss: 0.536836:	 mIoU 0.4497
29/06/2024 01:38:33 - 0056:	 - train_loss: 0.553002:	 - test_loss: 0.535616:	 mIoU 0.4529
29/06/2024 01:40:37 - 0058:	 - train_loss: 0.570526:	 - test_loss: 0.529244:	 mIoU 0.4618
29/06/2024 01:50:04 - 0067:	 - train_loss: 0.548644:	 - test_loss: 0.520799:	 mIoU 0.4677
29/06/2024 01:55:15 - 0072:	 - train_loss: 0.549452:	 - test_loss: 0.522686:	 mIoU 0.4680
29/06/2024 01:59:23 - 0076:	 - train_loss: 0.551023:	 - test_loss: 0.515513:	 mIoU 0.4706
29/06/2024 02:06:43 - 0083:	 - train_loss: 0.542895:	 - test_loss: 0.515674:	 mIoU 0.4756
29/06/2024 02:12:09 - 0088:	 - train_loss: 0.530862:	 - test_loss: 0.512431:	 mIoU 0.4773
29/06/2024 02:13:16 - 0089:	 - train_loss: 0.542584:	 - test_loss: 0.509815:	 mIoU 0.4791
29/06/2024 02:17:40 - 0093:	 - train_loss: 0.548234:	 - test_loss: 0.509110:	 mIoU 0.4833
29/06/2024 02:22:00 - 0097:	 - train_loss: 0.527315:	 - test_loss: 0.504384:	 mIoU 0.4843
29/06/2024 02:29:22 - 0104:	 - train_loss: 0.528589:	 - test_loss: 0.498464:	 mIoU 0.4927
29/06/2024 02:41:36 - 0119:	 - train_loss: 0.528994:	 - test_loss: 0.499271:	 mIoU 0.4964
29/06/2024 02:48:01 - 0126:	 - train_loss: 0.529206:	 - test_loss: 0.492711:	 mIoU 0.4975
29/06/2024 02:53:18 - 0131:	 - train_loss: 0.515970:	 - test_loss: 0.493153:	 mIoU 0.5023
29/06/2024 02:55:25 - 0133:	 - train_loss: 0.516629:	 - test_loss: 0.491393:	 mIoU 0.5027
29/06/2024 02:59:41 - 0137:	 - train_loss: 0.520532:	 - test_loss: 0.484394:	 mIoU 0.5082
29/06/2024 03:21:07 - 0157:	 - train_loss: 0.513178:	 - test_loss: 0.482338:	 mIoU 0.5093
29/06/2024 03:46:03 - 0180:	 - train_loss: 0.516647:	 - test_loss: 0.482280:	 mIoU 0.5096
29/06/2024 03:50:31 - 0184:	 - train_loss: 0.502427:	 - test_loss: 0.474049:	 mIoU 0.5193
29/06/2024 04:22:15 - 0213:	 - train_loss: 0.502390:	 - test_loss: 0.470537:	 mIoU 0.5200
29/06/2024 04:41:02 - 0230:	 - train_loss: 0.497312:	 - test_loss: 0.472281:	 mIoU 0.5218
29/06/2024 04:42:08 - 0231:	 - train_loss: 0.486018:	 - test_loss: 0.473070:	 mIoU 0.5230
29/06/2024 04:50:42 - 0239:	 - train_loss: 0.492897:	 - test_loss: 0.470754:	 mIoU 0.5246
29/06/2024 04:51:46 - 0240:	 - train_loss: 0.502337:	 - test_loss: 0.468118:	 mIoU 0.5266
29/06/2024 05:08:17 - 0255:	 - train_loss: 0.500158:	 - test_loss: 0.468117:	 mIoU 0.5274
29/06/2024 05:12:42 - 0259:	 - train_loss: 0.494861:	 - test_loss: 0.466460:	 mIoU 0.5277
29/06/2024 05:14:54 - 0261:	 - train_loss: 0.499182:	 - test_loss: 0.465220:	 mIoU 0.5302
29/06/2024 05:42:40 - 0286:	 - train_loss: 0.488945:	 - test_loss: 0.463867:	 mIoU 0.5304
29/06/2024 05:44:51 - 0288:	 - train_loss: 0.489650:	 - test_loss: 0.461952:	 mIoU 0.5319
29/06/2024 05:50:27 - 0293:	 - train_loss: 0.500125:	 - test_loss: 0.454733:	 mIoU 0.5403
29/06/2024 07:03:20 - 0355:	 - train_loss: 0.490138:	 - test_loss: 0.454184:	 mIoU 0.5416
29/06/2024 07:55:47 - 0405:	 - train_loss: 0.485948:	 - test_loss: 0.453840:	 mIoU 0.5421
29/06/2024 08:44:33 - 0447:	 - train_loss: 0.481187:	 - test_loss: 0.454810:	 mIoU 0.5421
29/06/2024 09:27:20 - 0484:	 - train_loss: 0.489324:	 - test_loss: 0.452124:	 mIoU 0.5423
29/06/2024 09:36:33 - 0492:	 - train_loss: 0.489963:	 - test_loss: 0.452792:	 mIoU 0.5426
