29/06/2024 00:49:20 - 0000:	 - train_loss: 0.999679:	 - test_loss: 2.123468:	 mIoU 0.0003
29/06/2024 05:33:22 - 0142:	 - train_loss: 1.298713:	 - test_loss: 1.261508:	 mIoU 0.1197
29/06/2024 05:37:24 - 0144:	 - train_loss: 1.256895:	 - test_loss: 1.205752:	 mIoU 0.1681
29/06/2024 05:39:24 - 0145:	 - train_loss: 1.244230:	 - test_loss: 1.165980:	 mIoU 0.2276
29/06/2024 05:45:34 - 0148:	 - train_loss: 1.233461:	 - test_loss: 1.156481:	 mIoU 0.2294
29/06/2024 05:47:36 - 0149:	 - train_loss: 1.225777:	 - test_loss: 1.170352:	 mIoU 0.2379
29/06/2024 05:49:35 - 0150:	 - train_loss: 1.224210:	 - test_loss: 1.143673:	 mIoU 0.2385
29/06/2024 05:51:39 - 0151:	 - train_loss: 1.221128:	 - test_loss: 1.163434:	 mIoU 0.2403
29/06/2024 05:53:39 - 0152:	 - train_loss: 1.216566:	 - test_loss: 1.153515:	 mIoU 0.2651
29/06/2024 06:01:52 - 0156:	 - train_loss: 1.196232:	 - test_loss: 1.112215:	 mIoU 0.2819
29/06/2024 06:05:51 - 0158:	 - train_loss: 1.188838:	 - test_loss: 1.080350:	 mIoU 0.2987
29/06/2024 06:10:02 - 0160:	 - train_loss: 1.179928:	 - test_loss: 1.086297:	 mIoU 0.3046
29/06/2024 06:12:08 - 0161:	 - train_loss: 1.178284:	 - test_loss: 1.035702:	 mIoU 0.3312
29/06/2024 06:16:13 - 0163:	 - train_loss: 1.166096:	 - test_loss: 1.054537:	 mIoU 0.3423
29/06/2024 06:28:27 - 0169:	 - train_loss: 1.155673:	 - test_loss: 1.025237:	 mIoU 0.3467
29/06/2024 06:30:28 - 0170:	 - train_loss: 1.154549:	 - test_loss: 1.061149:	 mIoU 0.3473
29/06/2024 06:32:30 - 0171:	 - train_loss: 1.150642:	 - test_loss: 1.022714:	 mIoU 0.3535
29/06/2024 06:40:35 - 0175:	 - train_loss: 1.145910:	 - test_loss: 1.034003:	 mIoU 0.3576
29/06/2024 06:42:33 - 0176:	 - train_loss: 1.149273:	 - test_loss: 1.019062:	 mIoU 0.3734
29/06/2024 06:54:51 - 0182:	 - train_loss: 1.136586:	 - test_loss: 1.003288:	 mIoU 0.3766
29/06/2024 06:59:00 - 0184:	 - train_loss: 1.138701:	 - test_loss: 0.991701:	 mIoU 0.3858
29/06/2024 07:13:15 - 0193:	 - train_loss: 1.128653:	 - test_loss: 1.000704:	 mIoU 0.3902
29/06/2024 07:17:23 - 0196:	 - train_loss: 1.128804:	 - test_loss: 0.991278:	 mIoU 0.3941
29/06/2024 07:19:00 - 0197:	 - train_loss: 1.126157:	 - test_loss: 1.013669:	 mIoU 0.3945
29/06/2024 07:31:09 - 0203:	 - train_loss: 1.107398:	 - test_loss: 0.973840:	 mIoU 0.4018
29/06/2024 07:33:12 - 0204:	 - train_loss: 1.102602:	 - test_loss: 0.985305:	 mIoU 0.4048
29/06/2024 07:47:18 - 0211:	 - train_loss: 1.081416:	 - test_loss: 0.972037:	 mIoU 0.4072
29/06/2024 07:53:18 - 0214:	 - train_loss: 1.069656:	 - test_loss: 0.980206:	 mIoU 0.4103
29/06/2024 07:57:20 - 0216:	 - train_loss: 1.071444:	 - test_loss: 0.970504:	 mIoU 0.4144
29/06/2024 08:07:32 - 0221:	 - train_loss: 1.059742:	 - test_loss: 0.972259:	 mIoU 0.4147
29/06/2024 08:25:47 - 0230:	 - train_loss: 1.057448:	 - test_loss: 0.966387:	 mIoU 0.4161
29/06/2024 08:35:47 - 0235:	 - train_loss: 1.047866:	 - test_loss: 0.972999:	 mIoU 0.4163
29/06/2024 08:54:02 - 0244:	 - train_loss: 1.044583:	 - test_loss: 0.957765:	 mIoU 0.4205
29/06/2024 08:58:09 - 0246:	 - train_loss: 1.042307:	 - test_loss: 0.955151:	 mIoU 0.4241
29/06/2024 09:34:17 - 0264:	 - train_loss: 1.032818:	 - test_loss: 0.950069:	 mIoU 0.4251
29/06/2024 09:36:18 - 0265:	 - train_loss: 1.031308:	 - test_loss: 0.953758:	 mIoU 0.4267
29/06/2024 09:45:58 - 0270:	 - train_loss: 1.028964:	 - test_loss: 0.950652:	 mIoU 0.4350
29/06/2024 10:06:44 - 0284:	 - train_loss: 1.026866:	 - test_loss: 0.940443:	 mIoU 0.4417
29/06/2024 10:28:38 - 0299:	 - train_loss: 1.018930:	 - test_loss: 0.935572:	 mIoU 0.4421
29/06/2024 10:55:03 - 0317:	 - train_loss: 1.012068:	 - test_loss: 0.937582:	 mIoU 0.4432
29/06/2024 11:02:31 - 0322:	 - train_loss: 1.017882:	 - test_loss: 0.935617:	 mIoU 0.4486
29/06/2024 11:39:49 - 0347:	 - train_loss: 1.007879:	 - test_loss: 0.936851:	 mIoU 0.4501
29/06/2024 11:41:52 - 0349:	 - train_loss: 1.010864:	 - test_loss: 0.926822:	 mIoU 0.4534
29/06/2024 11:59:24 - 0362:	 - train_loss: 1.004352:	 - test_loss: 0.926741:	 mIoU 0.4550
29/06/2024 12:09:50 - 0369:	 - train_loss: 1.009623:	 - test_loss: 0.930049:	 mIoU 0.4605
29/06/2024 13:15:08 - 0413:	 - train_loss: 0.999874:	 - test_loss: 0.928944:	 mIoU 0.4611
29/06/2024 13:57:40 - 0442:	 - train_loss: 1.000739:	 - test_loss: 0.923651:	 mIoU 0.4653
